[INFO ] 2018-11-08 16:25:07,490 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:08,048 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:08,048 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:08,057 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:09,462 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:09,462 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:09,462 - HikariPool: db - Closed.
[INFO ] 2018-11-08 16:25:09,631 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:09,638 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:09,638 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:11,858 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:11,858 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:11,858 - HikariPool: db - Closed.
[INFO ] 2018-11-08 16:25:11,977 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:11,988 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:11,988 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:13,667 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:13,667 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:13,667 - HikariPool: db - Closed.
[INFO ] 2018-11-08 16:25:13,802 - HikariPool: slick.dbs.default - Close initiated...
[INFO ] 2018-11-08 16:25:13,808 - HikariPool: slick.dbs.default - Closed.
[INFO ] 2018-11-08 16:25:13,808 - HikariDataSource: slick.dbs.default - Started.
[INFO ] 2018-11-08 16:25:15,202 - HikariDataSource: db - Started.
[INFO ] 2018-11-08 16:25:15,202 - HikariPool: db - Close initiated...
[INFO ] 2018-11-08 16:25:15,202 - HikariPool: db - Closed.
[WARN ] 2018-11-08 16:25:18,707 - IncorrectnessListenerImpl: Obsolete content type encountered: 'text/javascript'.
[ERROR] 2018-11-08 16:25:18,972 - StrictErrorReporter: runtimeError: message=[An invalid or illegal selector was specified (selector: '*,:x' error: Invalid selector: :x).] sourceName=[https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js] line=[2] lineSource=[null] lineOffset=[0]
[ERROR] 2018-11-08 16:25:23,457 - StrictErrorReporter: runtimeError: message=[An invalid or illegal selector was specified (selector: '*,:x' error: Invalid selector: :x).] sourceName=[https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js] line=[2] lineSource=[null] lineOffset=[0]
